Date,Open,High,Low,Close,Volume,Market Cap
"Oct 13, 2019",55.94,57.73,55.88,56.71,2235957909,3599137699
"Oct 12, 2019",56.4,56.93,55.74,55.98,2098404880,3552381331
"Oct 11, 2019",57.77,58.24,56,56.3,2441054545,3571918357
"Oct 10, 2019",59.4,59.41,57.43,57.78,2440262585,3665380676
"Oct 09, 2019",57.42,59.93,56.98,59.43,2790624239,3769908817
"Oct 08, 2019",57.79,58.32,57.01,57.4,2417116506,3640571611
"Oct 07, 2019",55.34,58.65,54.45,57.79,2891486029,3664860552
"Oct 06, 2019",56.84,56.94,54.59,55.41,2381501439,3513746874
"Oct 05, 2019",56.81,57.43,55.89,56.84,2063875681,3604148251
"Oct 04, 2019",56.52,57.52,56.04,56.85,2292624175,3604329719
"Oct 03, 2019",56.53,56.91,54.84,56.55,2221643896,3584521184
"Oct 02, 2019",56.01,56.89,55.6,56.51,2113331224,3581752017
"Oct 01, 2019",56.09,57.57,55.51,56.06,2325767310,3552792224
"Sep 30, 2019",54.31,56.16,53.32,56.06,2241248501,3552325139
"Sep 29, 2019",55.71,55.89,53,54.32,1825233237,3441861229
"Sep 28, 2019",56.42,56.57,54.64,55.68,1975938676,3527794899
"Sep 27, 2019",55.57,56.7,53.77,56.36,2324084589,3570419888
"Sep 26, 2019",57.66,57.83,51.84,55.54,2663433163,3518070664
"Sep 25, 2019",55.83,58.36,54.25,57.66,3360298410,3651789616
"Sep 24, 2019",66.84,67.61,55.82,55.82,3919809840,3535218521
"Sep 23, 2019",72.61,74.05,64.33,66.85,3215899051,4233164124
"Sep 22, 2019",73.51,73.55,71.8,72.62,2494428147,4597645596
"Sep 21, 2019",75.18,75.57,72.91,73.52,2572614027,4654112106
"Sep 20, 2019",76.96,77.05,73.87,75.15,3148504140,4756922829
"Sep 19, 2019",77.92,78.05,73.38,77.06,3778427056,4877292702
"Sep 18, 2019",74.23,79.66,74.15,77.97,3665577129,4934275012
"Sep 17, 2019",72.59,76.64,72.42,74.22,3104946341,4696563797
"Sep 16, 2019",70.32,73.27,70.11,72.57,2652253522,4591727205
"Sep 15, 2019",70.59,71.23,69.97,70.32,2330572400,4448378327
"Sep 14, 2019",69.02,71.16,68.49,70.56,2439744085,4463527330
"Sep 13, 2019",69.23,69.72,67.91,68.99,2368931048,4363467464
"Sep 12, 2019",69.96,70.15,68.74,69.23,2316445209,4377939287
"Sep 11, 2019",70.88,71.41,68.97,69.92,2569282757,4421472828
"Sep 10, 2019",70.13,72.67,70.07,70.82,2893715133,4477994431
"Sep 09, 2019",70.62,70.81,68.52,70.19,2654086135,4437564022
"Sep 08, 2019",69.02,71.11,68.94,70.55,2776939870,4459610897
"Sep 07, 2019",65.24,70.29,64.9,69.04,2763572250,4363628897
"Sep 06, 2019",65.39,67.89,64.89,65.23,2595201216,4122321157
"Sep 05, 2019",67.31,67.62,64.62,65.4,2379080140,4132391771
"Sep 04, 2019",69.18,69.24,67.06,67.29,2696779274,4251369351
"Sep 03, 2019",66.99,70.71,66.64,69.13,2816706430,4367373936
"Sep 02, 2019",66.11,67.55,64.96,66.94,2400017919,4228918428
"Sep 01, 2019",64.56,66.77,64.5,66.14,2228146663,4177872605
"Aug 31, 2019",64.36,65.27,63.01,64.58,2283340831,4078358696
"Aug 30, 2019",64.08,65.44,62.61,64.33,2377466438,4062542325
"Aug 29, 2019",67.36,67.43,63.63,64.1,3092332444,4047272938
"Aug 28, 2019",72.9,73.05,66.54,67.43,2883041616,4256892976
"Aug 27, 2019",73.93,73.93,72.37,72.84,2489689274,4597966230
"Aug 26, 2019",72.32,74.99,72.12,73.86,3046136697,4661893373
"Aug 25, 2019",73.47,74.73,71.17,72.31,2227400267,4563612040
"Aug 24, 2019",75.41,75.69,72.32,73.46,2191973575,4636016950
"Aug 23, 2019",73.58,75.69,72.87,75.4,2496513401,4757819433
"Aug 22, 2019",72.95,74.57,71.31,73.6,2908864703,4643456772
"Aug 21, 2019",75.24,75.47,70.58,72.96,2878567011,4602987629
"Aug 20, 2019",77.3,77.44,73.94,75.2,2430165429,4743207580
"Aug 19, 2019",76.34,78.51,75.88,77.26,2346796021,4873084523
"Aug 18, 2019",72.84,77.56,71.67,76.27,2743241606,4809876077
"Aug 17, 2019",74.91,75.33,72.27,72.8,2482385549,4590467351
"Aug 16, 2019",76.32,77.17,73.07,74.92,3016089036,4723824771
"Aug 15, 2019",76.13,78.51,73,76.39,3654075558,4815969361
"Aug 14, 2019",84.42,85.55,75.96,76.06,3093090406,4794992635
"Aug 13, 2019",85.75,86.32,83.35,84.41,2681787838,5320229477
"Aug 12, 2019",89.7,89.71,85.63,85.75,2716187719,5404272824
"Aug 11, 2019",85.45,91.03,85.45,89.75,3025787942,5655924170
"Aug 10, 2019",84.39,87.11,83.14,85.42,3088060147,5382272086
"Aug 09, 2019",90.09,90.36,83.49,84.44,3003278177,5319984195
"Aug 08, 2019",90.91,91.72,88.5,90.03,3034717882,5671748769
"Aug 07, 2019",93.04,93.74,88.54,90.91,3105989436,5726708990
"Aug 06, 2019",96.89,98.98,91.66,93.07,3245339849,5861986121
"Aug 05, 2019",93.09,105.59,93.09,96.83,4134352823,6098470159
"Aug 04, 2019",94.6,95.39,91.45,93.2,2427608117,5868857449
"Aug 03, 2019",95.02,96.84,94.16,94.58,2512959054,5954227577
"Aug 02, 2019",99.2,99.2,93.54,94.94,2882784454,5975497672
"Aug 01, 2019",98.57,100.26,95.98,99.18,2953184689,6240801535
"Jul 31, 2019",90.47,99.48,90.33,98.51,3051471469,6197337878
"Jul 30, 2019",90.47,92.19,89.02,90.57,2302521844,5696275523
"Jul 29, 2019",89.77,91.39,88.57,90.43,2457824867,5686062706
"Jul 28, 2019",88.89,90.41,85.35,89.77,2460180908,5643415873
"Jul 27, 2019",94.32,95.65,87.7,88.89,2626517608,5586678799
"Jul 26, 2019",93.41,94.55,90.75,94.31,2260844511,5925662076
"Jul 25, 2019",94.36,95.85,92.47,93.45,2690273677,5870441888
"Jul 24, 2019",90.46,96.42,88.15,94.31,3247150970,5923434071
"Jul 23, 2019",95.41,95.48,89.44,90.62,2700924026,5690513769
"Jul 22, 2019",99.56,100.25,92.3,95.42,2693989249,5990269582
"Jul 21, 2019",100.51,101.47,96.95,99.63,2829054215,6253213998
"Jul 20, 2019",98.46,104.61,97.71,100.61,3771308934,6313476233
"Jul 19, 2019",101.08,101.18,95.72,98.4,3983990085,6173653347
"Jul 18, 2019",89.69,103.15,87.45,101.09,4890332056,6340559063
"Jul 17, 2019",79.41,93.05,77.5,89.81,4616360556,5632042532
"Jul 16, 2019",90.9,92.06,77.5,79.5,3703346636,4984318767
"Jul 15, 2019",89.86,92.63,85.68,90.92,3570361793,5699307530
"Jul 14, 2019",101.11,101.68,88.81,89.77,3717531246,5625773339
"Jul 13, 2019",105.29,105.59,98.01,101.02,3353538171,6329505235
"Jul 12, 2019",102.83,106.36,101.21,105.3,3611846208,6595612500
"Jul 11, 2019",108.57,108.57,97.28,102.64,4633853162,6427725958
"Jul 10, 2019",119.5,120.1,103.82,108.5,4699511838,6792744022
"Jul 09, 2019",123.25,124.17,118.23,119.43,3785641025,7475393728
"Jul 08, 2019",120.28,125.08,118.6,123.29,3803750017,7714781783
"Jul 07, 2019",118.03,120.33,117.64,120.32,3348662401,7527688155
"Jul 06, 2019",118.38,121.29,117.33,117.82,3484378308,7369730846
"Jul 05, 2019",119.84,120.65,117.15,118.35,4110868217,7401137488
"Jul 04, 2019",122.5,126.67,119.05,119.98,4564200301,7501164315
"Jul 03, 2019",119.33,123.74,118.37,122.56,4529682890,7661188686
"Jul 02, 2019",122.56,123.29,112.65,119.24,4761878443,7451762463
"Jul 01, 2019",122.11,126.02,114.22,122.58,5034162436,7658690466
"Jun 30, 2019",133.72,136.26,120.44,122.25,5525273220,7636046758
"Jun 29, 2019",120.16,135.74,116.22,133.66,5745785825,8347117542
"Jun 28, 2019",114.41,122.02,113.47,120.15,4683311766,7501601230
"Jun 27, 2019",131.22,132.04,110.67,114.4,5588611122,7141234400
"Jun 26, 2019",136.48,138.32,128.94,131.27,5565887285,8191677323
"Jun 25, 2019",135.58,138.12,130.89,136.49,4411092400,8515726713
"Jun 24, 2019",136.92,138.69,132.83,135.53,3907725105,8454028780
"Jun 23, 2019",141.95,142.56,136.32,136.88,3998980168,8536077179
"Jun 22, 2019",139.04,146.43,138.48,141.9,5488615002,8847068564
"Jun 21, 2019",135.51,141.07,135.51,138.88,4378260963,8656823083
"Jun 20, 2019",136.6,137.08,132.64,135.48,3880682308,8442646197
"Jun 19, 2019",135.15,139.34,134.03,136.6,4383960510,8510498678
"Jun 18, 2019",134.47,135.92,129.75,135.16,3720828769,8418405570
"Jun 17, 2019",137.13,137.28,133.05,134.44,3230230843,8371507504
"Jun 16, 2019",138.15,138.79,134.54,137.12,4372645801,8536706967
"Jun 15, 2019",133.18,139.19,133.14,138.13,4329002013,8597209351
"Jun 14, 2019",131.31,133.18,126.86,133.05,4352005824,8279439669
"Jun 13, 2019",135.68,136.89,129.14,131.35,4947794845,8171623427
"Jun 12, 2019",136.09,142.71,132.24,135.65,5855623530,8437276930
"Jun 11, 2019",129.26,138.15,125.96,136.03,5441787587,8458730745
"Jun 10, 2019",115,129.71,113.17,129.07,5449266884,8024339041
"Jun 09, 2019",118.59,119.13,112.57,115.13,4360301111,7156126160
"Jun 08, 2019",117.28,119.5,114.46,118.55,4689557936,7366835517
"Jun 07, 2019",110.98,120.64,109.59,117.37,5140908477,7291832561
"Jun 06, 2019",103.81,111.33,102.09,111.11,4142250662,6900772772
"Jun 05, 2019",102.12,104.84,101.22,103.85,3585162872,6448454322
"Jun 04, 2019",107.37,107.37,99.29,102.09,4316694183,6337614783
"Jun 03, 2019",114.67,115.91,106.46,107.47,3832352496,6670082970
"Jun 02, 2019",112.71,116.25,111.91,114.7,3434073037,7117549253
"Jun 01, 2019",114.47,115.61,111.68,112.62,3807158511,6986544718
"May 31, 2019",108.7,114.63,105.91,114.54,4207966341,7103874448
"May 30, 2019",115.14,119.74,105.3,108.8,4971290022,6746180187
"May 29, 2019",114.93,117.87,110.47,115.08,4122926836,7134213755
"May 28, 2019",117.89,117.89,112.99,114.93,4171886802,7123212215
